Government Measure,DaysFromFirst_eu,actual_value_growth_eu,growth_effect_eu,DaysFromFirst_ch,actual_value_growth_ch,growth_effect_ch,effect_diff
Alerta Epidemiológica,6.0,1.0,0.8591789742956191,,,,
Apertura de clases en algunas provincias,,,,72.0,1.0009028061192942,0.9815608231871324,
Bloqueo de ciudades afectadas,23.0,26.333333333333332,0.9570636399556314,34.0,1.7717726991970353,0.9362866822578699,0.9792230423022386
Cierre de escuelas,42.333333333333336,2.1610246447753596,0.9038644873857349,27.0,3.1462585034013606,0.9362556356771357,1.0323911482914008
Cierre de espectáculos,40.0,2.3987283742575727,0.9033511176978334,24.0,2.284974093264249,0.937469103992377,1.0341179862945435
Cierre de fronteras,40.0,1.7251402345741969,0.9188219983711764,,,,
Licencias y home office,45.666666666666664,1.989111681259158,0.9050623944960455,,,,
Limitaciones drásticas al transporte,44.0,1.7953848273295312,0.885152250705983,24.0,2.284974093264249,0.937469103992377,1.052316853286394
Recomendación de aislamiento,26.0,1.8856050069541028,0.9462538270841203,23.0,2.651063829787234,0.9373632848148493,0.991109457730729
Restricciones al transporte público,46.0,1.9429862680340693,0.8509229673510325,,,,
Supervisión de ingreso de pasajeros,36.0,2.15,0.8568797873280252,,,,
