CountryExp,Government Measure,DaysFromFirst
Spain,Alerta Epidemiológica,6
Spain,Supervisión de ingreso de pasajeros,36
Spain,Cierre de escuelas,41
Spain,Licencias y home office,41
Spain,Cierre de espectáculos,42
Spain,Restricciones al transporte público,46
Spain,Limitaciones drásticas al transporte,48
Italy,Recomendación de aislamiento,1
Italy,Bloqueo de ciudades afectadas,23
Italy,Cierre de escuelas,35
Italy,Cierre de espectáculos,35
Italy,Cierre de fronteras,40
Italy,Limitaciones drásticas al transporte,40
Italy,Licencias y home office,45
France,Cierre de espectáculos,43
France,Recomendación de aislamiento,51
France,Licencias y home office,51
France,Cierre de escuelas,51
China,Recomendación de aislamiento,23
China,Limitaciones drásticas al transporte,24
China,Cierre de espectáculos,24
China,Cierre de escuelas,27
China,Bloqueo de ciudades afectadas,34
China,Apertura de clases en algunas provincias,72
