date,city,cumulative,cured,deaths,uncertain,id_city
2003-04-21,广东,1317,1136,48,,0
2003-04-21,北京,482,43,25,610,1
2003-04-21,山西,120,6,7,61,2
2003-04-21,内蒙古,30,,6,48,3
2003-04-21,四川,8,3,2,7,4
2003-04-21,广西,14,8,3,1,5
2003-04-21,河南,3,,,1,6
2003-04-21,宁夏,,,,,7
2003-04-21,吉林,3,,,1,8
2003-04-21,浙江,,,,,9
2003-04-21,辽宁,2,,,,10
2003-04-21,甘肃,,,,,11
2003-04-21,陕西,1,,,4,12
2003-04-21,湖南,6,5,1,1,13
2003-04-21,上海,2,,,8,14
2003-04-21,河北,,,,7,15
2003-04-21,天津,,,,2,16
2003-04-21,新疆,,,,1,17
2003-04-21,重庆,,,,1,18
2003-04-21,总计,2001,1201,92,753,19
2003-04-22,广东,1330,1137,48,78,0
2003-04-22,北京,588,46,28,666,1
2003-04-22,山西,141,13,7,73,2
2003-04-22,内蒙古,33,,6,58,3
2003-04-22,四川,8,3,2,8,4
2003-04-22,广西,14,8,3,1,5
2003-04-22,河南,6,,,1,6
2003-04-22,宁夏,5,,,,7
2003-04-22,吉林,7,,,2,8
2003-04-22,浙江,3,,,,9
2003-04-22,辽宁,1,,,,10
2003-04-22,甘肃,2,,,2,11
2003-04-22,陕西,2,,,5,12
2003-04-22,湖南,6,5,1,2,13
2003-04-22,上海,2,,,8,14
2003-04-22,河北,,,,7,15
2003-04-22,天津,5,,2,2,16
2003-04-22,新疆,,,,1,17
2003-04-22,重庆,,,,1,18
2003-04-22,山东,1,,,,20
2003-04-22,湖北,1,,,,21
2003-04-22,福建,3,1,,,22
2003-04-22,江苏,,,,1,23
2003-04-22,贵州,,,,1,24
2003-04-22,总计,2158,1213,97,918,19
2003-04-23,广东,1330,1137,48,78,0
2003-04-23,北京,588,46,28,666,1
2003-04-23,山西,141,13,7,73,2
2003-04-23,内蒙古,33,,6,58,3
2003-04-23,四川,8,3,2,8,4
2003-04-23,广西,14,8,3,1,5
2003-04-23,河南,6,,,1,6
2003-04-23,宁夏,5,,,,7
2003-04-23,吉林,7,,,2,8
2003-04-23,浙江,3,,,,9
2003-04-23,辽宁,1,,,,10
2003-04-23,甘肃,2,,,2,11
2003-04-23,陕西,2,,,5,12
2003-04-23,湖南,6,5,1,2,13
2003-04-23,上海,2,,,8,14
2003-04-23,河北,,,,7,15
2003-04-23,天津,5,,2,2,16
2003-04-23,新疆,,,,1,17
2003-04-23,重庆,,,,1,18
2003-04-23,山东,1,,,,20
2003-04-23,湖北,1,,,,21
2003-04-23,福建,3,1,,,22
2003-04-23,江苏,,,,1,23
2003-04-23,贵州,,,,1,24
2003-04-23,总计,2158,1213,97,918,19
2003-04-24,广东,1344,1146,49,83,0
